syllables He,['was']
heavy-lidded expression,['which']
fields There,['it']
this little,|['matter', 'mystery', 'book']|
were brilliantly,['lit']
miles through,['the']
proof against,['the']
slept in,['her']
society I,['am']
had for,['years']
me perhaps,['it']
right over,['the']
help to-night,['what']
quick steps,['upon']
letters first,['was']
was? I,['had']
no maker's,['name']
tragedy of,['the']
energy of,['his']
rang the,['bell']
different points,['Holmes']
you up,|['Watson', 'so', 'to']|
some subtle,['and']
shattered stern-post,['of']
cannot recall,|['when', 'any']|
company he,['asked']
monogram rather,['at']
All will,['come']
I confess,|['that', 'to', 'is']|
childish She,['dropped']
my coming,['at']
Monday last,['McCarthy']
sooner or,['later']
end what,['to']
|all however,|,['just']
soon drive,['away']
victim had,['come']
and shouts,['of']
Roylott's room,['a']
these garments,['and']
drew over,['the']
statement is,|['I', 'singularly']|
then closing,['it']
would am,['still']
uttered it,['before']
would at,['such']
we went,|['into', 'to', 'mother', 'as', 'then', 'towards']|
or I,|['am', 'will', 'may']|
knew he,['was']
cried can,['you']
a fresh,['convulsion']
discoloured There,['was']
lank wrists,['protruded']
opened his,|['lips', 'mouth', 'lids', 'bag']|
them Of,['course']
devoid of,['interest']
continued The,['postmark']
or a,|['crack', 'person', 'friend', 'plaid', 'boot', 'detective', 'compositor', 'plot', 'villain', 'look']|
first time,|['that', 'saw']|
central portion,|['and', 'was']|
practical questions,['as']
around I,['saw']
and inquiry,['showed']
the narrow,['passage']
corridor Twice,['he']
villain a,['man']
him scribble,['on']
a state,|['I', 'of']|
and armchairs,['With']
money I,['do']
fly Such,['a']
my problem,['When']
room The,['fire']
room from,['whence']
way that,|['it', 'showed', 'they']|
deep-set bile-shot,['eyes']
to refund,['but']
good-night Watson,['he']
the slow,['process']
although what,['his']
startled at,|['the', 'my']|
little I,|["don't", 'heard']|
his belief,['the']
sprang from,|['his', 'the', 'my']|
Arthur caught,['him']
it's as,['much']
uses lime-cream,['are']
impression generally,['of']
shaking hands,['with']
hedges were,['just']
yourself that,['the']
very ordinary,['black']
the Testament,['that']
jealousy is,['a']
of Mr,|['Sherlock', 'Merryweather', 'Hosmer', 'Turner', 'Neville', 'Armitage', "Hatherley's", 'Aloysius', 'Rucastle', "Rucastle's", 'Fowler']|
drawn over,['his']
may start,['with']
note-book and,['handed']
remarked returning,['to']
|some 30,000|,['pounds']
Mr Fordham,['shows']
Naturally it,['was']
on felony,['would']
firmly very,['well']
gold-mine Naturally,['it']
of bushy,['whiskers']
Suppose that,['this']
rang out,['crisply']
wrong if,['we']
and perhaps,|['the', 'write', 'he', 'just', 'I']|
own statement,['of']
Flora Millar,|['the', 'a', 'in', 'how?"', 'and']|
son as,['far']
will make,|['it', 'the', 'no']|
fallen his,['eyes']
somewhat cold,['and']
is Saturday,['and']
I hadn't,['been']
quarter Wimpole,['Street']
two and,|['thirty', 'three']|
mopping his,['forehead']
all mark,['him']
emigrant ship,['the']
promise you,['that']
perfectly simple,['You']
sins are,['they']
ledger Now,['then']
was torn,['at']
as Spaulding,['said']
his dog-cart,['to']
weapon which,['will']
to Captain,['James']
the footman,['The']
and insects,['But']
it's time,['we']
are not,|['injuring', 'very', 'connected', 'over-pleasant', 'entirely', 'averse', 'there', 'many', 'fitted', 'too']|
my books,['Round']
took place,|['two', 'That', 'really,']|
have always,|['loved', 'about']|
had caught,|['his', 'a']|
in Hafiz,['as']
trousers with,['brown']
any piece,['of']
crate with,['a']
was all-important,['When']
smokes of,['the']
commonplace British,['tradesman']
metal dangling,['down']
your mother,|['is', 'take']|
his concluding,['remarks']
were mostly,['concerned']
shrugged his,|['broad', 'shoulders']|
of drawers,|['stood', 'in']|
face uncertain,['whether']
either fathomed,['it']
he fought,['in']
distance to,|['travel', 'come', 'the']|
announced in,['the']
unfenced the,['jury']
altar and,['before']
boots half-buttoned,['it']
relations of,['any']
bureau is,['a']
wine and,['water']
home am,['afraid']
Holmes yes!,['In']
may set,['your']
worth? I,['asked']
follow you,|['For', 'said']|
undoubtedly my,|["uncle's", 'hat']|
speak plainly,['the']
an ordnance,['map']
over this,|['matter', 'great', 'sort', 'ground', 'stile', 'trifling', 'business', "you'll"]|
may see,['for']
home at,['the']
little used,['thoroughfare']
speed down,['the']
a madman,['coming']
got beyond,['words']
She became,['restive']
has awakened,['me']
darkness as,['I']
attic which,['had']
and unclaspings,['of']
you show,['us']
and mind,['and']
strangest and,['most']
begin to,['think']
could anyone,|['have', 'offer']|
merit that,['I']
go none are,['sure']
doctor's advice,['and']
these witnesses,['depose']
bricks It,['was']
sleeves and,['fronts']
have compromised,['yourself']
having closed,['the']
Cedars is,['a']
though some,['dreadful']
hour there,['arrived']
leaned back,['in']
him Some,['woman']
heels and,['vanished']
taking coffee,['in']
as true,['as']
the flags,['which']
and told,|['her', 'you']|
you down,['all']
comical pomposity,['of']
heavy blow,['from']
smiling it,['was']
no more,|['They', 'to', 'of', 'than', 'compunction', 'words', 'but', 'It']|
it Did,['I']
she never,['said']
showed made,['the']
to find,|['the', 'my', 'some', 'out', 'it', 'anything', 'you', 'a', 'an', 'It', 'Sherlock', 'any', 'ourselves', 'remunerative', 'that', 'there', 'another', 'her']|
whom I,|['may', 'was', 'had', 'recognised', 'can', 'have', 'buy', 'could']|
little monograph,|['some', 'on']|
clay but,['as']
ENGINEER'S THUMB,['all']
Times and,['smoking']
had again,['and']
and Suburban,['Bank']
snuff that,['he']
we dashed,|['away', 'down']|
and coming,['to']
perhaps better,['first']
lot it,['had']
deep slumber,['Holmes']
Windigate of,['the']
them which,|['would', 'makes']|
of brandy,|['and', 'So']|
of bicycling,['He']
was deadly,|['pale', 'still']|
Christmas morning,|['in', 'Peterson', 'knowing']|
amount but,['I']
well-groomed and,['trimly']
dare you,['touch']
man As,|['far', 'I']|
as pa,['So']
|entered madam,"|,['said']
the drawing-room,|['followed', 'that', 'and', 'which', 'sofa']|
long newspaper,['story']
miles I,['think']
who does,['a']
gasped the,['banker']
coat his,['red']
did he,|['come', 'live', 'meet', 'make', 'not', 'is']|
sounds feasible,['we']
perturbed expression,['upon']
gave him,|['Hatherley', 'without', 'somewhat', 'a', 'into', 'every']|
an average,['commonplace']
building near,['the']
myself without,['a']
marks while,['Wooden-leg']
course borrow,['so']
to vanish,['away']
states and,['were']
Those are,|['the', 'all']|
for Gesellschaft,['which']
endeavouring to,|['imitate', 'trace', 'send', 'tell', 'straighten', 'communicate']|
a boot-lace,['Now']
ladies sitting,['round']
fellow-men had,['cleared']
left-hand side,|['there', 'of']|
claim-jumping which in,['miners']
ears Then,['suddenly']
mastiff I,['call']
winds and,['the']
remarkable episode,['was']
the prime,['of']
almost overcome,['my']
A lens,['and']
bed It,|['must', 'might']|
her thick,['black']
had by,['no']
spend most,['of']
neither sickness,['nor']
look will,['not']
Giving pain,['to']
tinged with,['a']
don't bring,['it']
dressed You,['observed']
pushing her,|['face', 'back']|
Bridge. Here,['is']
indeed at,|['the', 'liberty']|
discovery furnishes,['a']
I entered,|['the', 'It', 'a']|
reach A,['jagged']
him hope,['we']
detain you,['longer']
yes. It,['is']
surprised I,['was']
methods which,['are']
it appeared,|['to', 'and']|
not understand,['reasons']
you upon,['a']
Both these,['witnesses']
assistant having,['come']
Merryweather the,['stake']
the gasfitters,['ball']
Thames The,['other']
track You,|['can', 'must']|
wanted to,|['know', 'do', 'see']|
sure when,['he']
a traveller,['in']
stepfather's case,['it']
second day,['of']
course we,|['still', 'may']|
The bridge,['no']
this unfortunate,|['man', 'lady']|
was never,|['so', 'to', 'any', 'able', 'weary', 'happy']|
another door,['It']
fare and,['the']
laughed Here,['is']
a comfortable-looking,['man']
didn't do,['it']
no truth,['Mr']
sinister quest,['upon']
of villas,['on']
advertisement had,['upon']
nose station-master,['laughed']
insists upon,['seeing']
my youth,['took']
came upstairs,['there']
relative position,['to']
showed any,['signs']
words you,['understand']
pay is,['good too']
London slavey,['As']
he his,['name']
marriage with,|['so', 'Miss']|
Such a,['charge']
our visitor's,['knee']
no mother,['she']
a fairly,['long']
|promise," said|,['Holmes']
single half-column,['of']
was bound,['to']
point Now,['I']
spoke the,|['gleam', 'man', 'door']|
she married,|['again', 'or']|
This business,|['at', 'has']|
to money,['have']
a coster's,['orange']
glance however,['I']
our seats,['to']
attendant at,['the']
statement to,|['you', 'be']|
sit without,['light']
advise both,['sat']
down Tottenham,['Court']
absolute reliability,['is']
Openshaw and,|['the', 'whose']|
Good-bye it,['is']
hobby of,['mine']
certain horror,['It']
sister or,['landlady']
themselves and,['others']
narrow corridor,['while']
Miss Honoria,['Westphail']
at least,|['in', 'an', 'had', 'a', 'four', 'throw', 'you', 'there', 'tell', 'tenfold', 'I', 'said', 'the', 'will', 'she', 'criminal', 'ready']|
doubt You,['have']
told more,['than']
Spaulding and,["he's"]
slight motion,['to']
error by,['a']
flew open,['and']
a persevering,['man']
of solid,|['gold', 'iron']|
depressed and,['shaken']
court at,['all']
yet which,['presented']
present instance,['I']
precious stone,|['It', 'the']|
of those,|['boxes', 'hours', 'simple', 'great', 'which', 'drunken', 'poor', 'letters', 'who', 'singular', 'whimsical', 'geese', 'metal', 'hysterical', 'bulky', 'unwelcome', 'all-night']|
middle-sized fellow,['some']
will follow,['in']
children from,['being']
expression his,['manner']
quite recent,['and']
beautifully I,['exclaimed']
lady came,|['to', 'in']|
handed it,|['to', 'back', 'up']|
us to-night,['we']
passed the,|['well-remembered', 'tall', 'Hampshire']|
Singularity is,['almost']
west of,['England']
every man,|['who', 'I', 'but']|
gasped What,['of']
memory had,['seen']
let us,|['talk', 'do', 'consider', 'try', 'put', 'hear', 'have', 'know', 'hurry', 'hope', 'lose']|
inspector Here,['it']
not search,['for']
that to,|['me', 'He', 'do']|
drank more,['than']
of dingy,['two-storied']
either mad,['or']
everyone finds,['his']
hard black,['lines']
husband was,|['a', 'Was']|
that line,['You']
last Saturday's,['Chronicle']
Then suddenly,|['he', 'realising', 'another', 'springing']|
over to,|['anyone', 'the', 'mother', 'Ross', 'England', 'him', 'his', 'America']|
ominous bloodstains,['upon']
is easy,|['for', 'to']|
Disregarding my,['presence']
greatest danger,['of']
given us,['in']
given up,['his']
coincidence of,['dates']
condition of,|['the', 'his']|
penetrating to,['this']
uncertain foot,['Then']
are on,|['the', 'intimate']|
heartless a,['trick']
are feared,['by']
Christmas with,['the']
are of,|['an', 'great', 'interest']|
found which,|['could', 'may']|
recent events,['so']
drifting slowly,['across']
But when,['I']
important addition,['has']
could this,['American']
passion also,['for']
meet signs,['of']
not knowing,['what']
on Christmas,['morning']
break her,|['heart it', 'heart']|
of their,|['travellers', 'employ', 'saddles', 'senses', 'father', 'beds', 'tents', 'profession', 'pictures', 'journey', 'isolation']|
mysterious and,['inexplicable']
the cellar,|['like', 'of', 'I', 'The', 'stretched', 'on', 'said', 'If']|
my bureau,['made']
looked again,['there']
be immediately,['implicated']
quavering voice,['will']
small jollification,['and']
before cannot,['say']
pressure When,['I']
attract the,['attention']
Holmes continued,['I']
10 1883,['His']
nose and,|['there', 'cheeks', 'chin']|
case considerably,['in']
and screamed,['upon']
into Holborn,['Holmes']
repute of,['a']
might afford,['some']
Station no,['one']
of staining,['the']
furniture van,['That']
perhaps of,['petulance']
carrying was,['of']
down into,|['an', 'the', 'his', 'a', 'Holborn', 'its']|
comes back,|['all', 'Then']|
but otherwise,['everything']
stopping the,['wagons']
my wedding-clothes,['and']
last before,['a']
in vegetables,['to']
to twelve,['and']
Holmes because,['we']
slut from,['off']
not Neville,['St']
houses to,['talk']
furiously with,['his']
quarrels and,['this']
time Mr,['Windibank']
was saying,['to']
house in,|['Kensington', 'the', 'my']|
and looking,|['eagerly', 'out', 'defiantly', 'about', 'keenly', 'at']|
him dear,['Holmes']
house it,|['has', 'would']|
house is,|['on', 'it']|
mind about,|['that', 'father', 'them']|
mere pittance,['while']
Oakshott of,['Brixton']
You understand,['am']
monotonous occupation,['my']
I lifted,['the']
prosperous man,['without']
as white,['as']
wicker-work chairs,['made']
about Mr,|['Jabez', 'Hosmer']|
at each,|['successive', 'other', 'of']|
do shall,['spend']
eyes travelled,['round']
visible upon,['the']
which neither,['alone']
I claim,['full']
de coeur,['She']
criminal how,['did']
a curt,['announcement']
raise your,['cry']
and shook,['my']
it amiss,['if']
lumber-room of,['his']
the ship,|['must', 'The', 'last']|
felt about,['in']
him Among,['these']
matter will,|['be', 'fall']|
case Watson,['if']
lips tight,['and']
particulars As,['far']
remember Botany,['variable']
me see,|['said', 'it']|
a pale,|['face', 'sad-faced']|
month by,['the']
it photograph!",['King']
from whom,['I']
Bordeaux where,['the']
from showing,['my']
bell-pull I,['cried']
do his,['worst']
thought seized,['me']
crony of,['the']
my suspicion,['became']
door said,['Holmes']
damp marshy,['ground']
has suffered,['if']
a muttered,['exclamation']
do him,['no']
might find,|['it', 'a']|
first of,|['all', 'criminals', 'course']|
you become,['engaged']
at me,|['I', 'Will', 'God!', 'The', 'with', 'closed', 'until', 'as', 'again', 'her', 'Perhaps', 'are', 'out', 'now', 'keenly']|
anyone were,['to']
in when,['I']
has refused,['him']
finished Between,['your']
and simple-minded,['Nonconformist']
who believe,|['in', 'that']|
Post Office,['to']
she sings,['Has']
a German,|['Do', 'accent', 'very']|
others being,['volumes']
at my,|['hair', 'own', 'companion', 'elbow', 'request', 'skirt', 'side', 'surprise', 'disposal', 'watch', "wit's", "companion's", 'wrist', 'hand', 'facts', 'Baker', 'remark']|
The next,['instant']
hand the,|['face', 'cord']|
taken by,['Mr']
silence of,['the']
indulge yourself,['in']
pipes four,['pipes I']
suicide and,['several']
all You,['just']
with he,['asked']
police reports,['realism']
events working,['through']
hedge close,['by']
him again,|['fear', 'and']|
Robinson he,['answered']
up these,['points']
followed her,['but']
those all-night,['chemical']
drawer and,['I']
butt-end of,|['his', 'the']|
letter my,['father']
been broken,|['into', 'so']|
professional from,['a']
will still,['call']
common often,['vanish']
the savage,['creature']
only claim,['the']
borne away,['by']
my secret,|['He', 'was']|
as such,['I']
portly and,['imposing']
is usual,['in']
and chair,['Will']
cellar The,|['crate', 'cellar']|
he placed,|['upon', 'his']|
singular mystery,['which']
K ceases,['to']
|Becher's." me,"|,['broke']
happened he,['spoke']
the advantage,['of']
crowded in,['to']
or so.,['how']
finger-tips together,|['and', 'The', 'to']|
chair Watson,["He's"]
The fund,['was']
someone but,['I']
hung up,['indoors']
had entered,|['and', 'his']|
knowing anything,['about']
papers but,['it']
I suggest,['that']
lady's jewel-case,['The']
were insufficient,['It']
being an,['average']
my tongue,['Reading']
just fixed,['it']
seen swinging,['in']
Streatham and,['saw']
inhabited wing,['of']
end What,['could']
from Ross,['in']
in her,|['own', 'life', 'ways', 'overpowering', 'interests', 'lap', 'eagerness', 'night-dress', 'left', 'statement', 'hand', 'ear', 'right', 'then', 'as', 'room', 'hands', 'direction', 'young']|
over most,['painful']
Young McCarthy,['must']
should they,['give']
ten last,['night']
heavy brassy,['Albert']
the value,['of']
his quietly,['genial']
links which,['bind']
brown tint,['Gone']
another man,|['As', 'since']|
appear at,['the']
rabbit into,['its']
are threatened,['by']
do try,['to']
Holmes Was,|['he', 'it']|
them into,|['an', 'the']|
asked about,['the']
me from,|['any', 'ennui', 'Marseilles', 'breaking', 'my', 'showing', 'the']|
neck with,['a']
wilful murder,['having']
come from?,|["Dundee,'"]|
the land,['may']
free on,['my']
suspected a,['mere']
from Horsham,['clay']
free of,['any']
clearly perceive,['that']
bent with,['age']
to Duncan,['Ross']
goodness to,|['sit', 'open', 'touch', 'look']|
most resolute,['of']
the three,|['at', 'of', 'rooms', 'bedrooms', 'missing', 'figures']|
and face,['protruded']
are points,['in']
to harm,['I']
these vague,['theories']
he By,['the']
|really, I|,['came']
barrow I,['should']
postmark is,['London eastern']
suspecting that,['she']
strength causing,['injuries']
In my,['position']
pleasure of,|['introducing', 'assisting', 'making']|
to command,['and']
said for,['it']
professional and,['of']
in colour,['a']
own station,['What']
first did,['you']
myself some,['small']
blush passed,['over']
boards while,['the']
blood in,['my']
framework of,['the']
bad companions,['took']
most extreme,['importance']
looked inside,['the']
was allowed,['some']
Sutherland I,['tell']
extreme limits,|['and', 'of']|
prefer not,['to']
circumstances made,['a']
hoard where,['he']
light mousseline,['de']
220 pounds,['standing']
Angel must,['have']
specialist in,['crime']
only fair,['to']
he now,|['has', 'and']|
Only two,['days']
the trouble,['of']
set an,['edge']
will tell,|['you', 'me']|
ourselves Frank,['said']
thrown from,['the']
sides All,['my']
hands what,['will']
lit and,|['even', 'shone']|
cleaned it,['dressed']
drawer At,['last']
finally returning,['to']
appearance at,['the']
The lamps,['had']
vilest alleys,['in']
though a,['window']
City Just,['ring']
was staying,['in']
next evening,['I']
day the,['wind']
equalled It,['was']
desk but,['China']
contemplative mood,['which']
slit of,['dim']
Holmes was,|['not', 'pacing', 'transformed', 'silent', 'able', 'wrong', 'already', 'a', 'well', 'as', 'favourably', 'settling']|
remains You,['must']
his presence,['I']
blue smoke,['curling']
shot Do,['you']
already recorded,['still']
sat again,['in']
bedroom through,['the']
copier of,['the']
abstracted from,['the']
UNCLE: I feel,['that']
enemies I,['know']
employ of,['Mr']
should or,['should']
I help,['suspecting']
war time,['and']
is willing,['to']
the leaking,['cylinder']
mind before,['he']
trained it,['probably']
written beneath,['These']
I held,['most']
purposes and,['the']
knows to,['be']
advocate here,['who']
half-clad stable-boy,['waiting']
fire her,['instinct']
beggary and,['he']
at for,['my']
been lounging,['in']
afterwards we,['were']
wicked lust,['for']
dog cried,['Miss']
cord is,['hung']
very essential,|['Miss', 'to']|
flags which,['lined']
impatient snarl,['in']
innocent man,|['or', 'who']|
wonder who,['the']
really confined,['to']
preserve my,['disguise']
a vacancy,|['and', 'did', 'in']|
man entered,['who']
he actually,['within']
spirits swinging,['an']
had misgivings,['upon']
the gipsies,|['do', 'and']|
freely over,['his']
understand without,['being']
you advance,['with']
our actions,['I']
eyebrows What,['can']
mentioned for,['I']
plans I,['expect']
houses of,|['Europe', 'Great']|
professional case,['of']
sensationalism for,['out']
of roofs,['some']
It looks,['as']
They drove,['away']
thin knees,['drawn']
place The,['Copper']
with whom,['I']
seeing what,['I']
January 85,|['that', 'my']|
marry another,['woman']
been much,|['perturbed', 'attracted']|
Venner &,['Matheson']
confided it,['to']
hardly found,['upon']
rejoin you,['in']
marriage also but,['I']
clearly and,|['concisely', 'kindly']|
on such,['a']
him about,['it']
lens You,['know']
and pale,['with']
unusual salary,['the']
employed my,['morning']
though to,['remember']
explanations each,['of']
City She,['little']
to acquiesce,['in']
rain to,['lengthen']
enormous pressure,['When']
BLUE CARBUNCLE,['had']
was evident,['that']
lamp the,['fat']
double point,['our']
field down,['considerably']
flattered as,['any']
I really,|["wouldn't", 'cannot', 'could']|
envelope So,['it']
foot we,['are']
a wonderful,|['sympathy', 'man', 'manager']|
disappointed in,['his']
that though,|['the', 'we']|
edge to,['a']
pensioners upon,['the']
secrecy is,['quite']
middle-aged gentlemen,['are']
much addicted,['to']
that address,['it']
your money,['for']
woman very,['much']
word it,['is']
in to-night's,['adventure']
word is,['inviolate']
transform myself,['into']
perhaps she,['might']
won't claim,['to']
the High,['Street']
of Horner,['who']
been drinking,['hard']
may mean,['a']
silent but,['some']
Charming rural,['place']
rise within,['me']
following paragraph,['Cosmopolitan']
done better,['to']
did You,['remember']
don't believe,['it']
official police,|['From', 'agent', 'but', 'I', 'as']|
it bless,['you']
sacrificing it,['in']
either openly,['abjure']
A month,['ago']
had occurred,|['two', 'I', 'Miss', 'during', 'A', 'he']|
very heartily,|['with', 'at']|
story right,['away']
would think,|['of', 'that', 'they']|
taken It,['corresponds']
well to,|['do', 'follow', 'earn', 'have', 'think', 'cringe', 'perform']|
|position here,|,['Watson']
bill for,['a']
offer an,['opinion']
served upon,['me']
accept in,['return']
the new,|['role', 'year', 'conditions', 'foliage']|
friend's incisive,['reasoning']
There the,['matter']
get out,['and']
vague account,['of']
parents by,['studying']
dad she,['asked']
the trustees,['are']
slovenly as,['we']
doddering loose-lipped,['senility']
faithfully ST,['SIMON.']
rain with,['high']
branches in,['different']
just buy,['a']
dimly imagine,['Several']
my inheritance,['You']
one limb,['is']
strong agitation,['which']
he appears,|['as', 'to']|
cards said,['that']
some paternal,['advice']
and grotesque,['As']
solve this,['problem']
cigar which,|['my', 'had']|
their horses,['and']
not connected,['with']
our task,['to']
thick hanging,['lip']
was stirring,['It']
keys in,|['his', 'the']|
and sinking,['his']
it pulled,['up']
corner still,['looking']
I Charming,['rural']
we compress,['it']
to France,|['upon', 'again', 'Hosmer', 'were']|
shown into,['the']
skill I,['took']
effects and,['extraordinary']
bore the,['name']
poultry supplier.,|['then,']|
him Good-bye,['and']
rules of,['your']
Oh let,['us']
lay in,['wait']
discriminate When,['a']
reabsorbed by,['them']
flush upon,|['her', 'his']|
pennies and,|['half-pennies 421', '270']|
have bitterly,['regretted']
the McCarthys,['were']
second floor,|['of', 'About']|
politicians who,['had']
it she,['had']
Then creeping,['up']
her beautiful,['hair']
intention to,|['make', 'charge']|
just left,|['him', 'Turning', 'everything']|
He suddenly,['sprang']
shown extraordinary,['energy']
the Sherlock,['Holmes']
most clumsy,['and']
us through,['the']
notably in,['Tennessee']
 John,['Swain']
our red-headed,['client']
Shall be,['glad']
you against,['him']
firm then,['in']
hunting in,['couples']
and Horner,['was']
investigation The,['larger']
latter led,['to']
the Museum,['itself']
whither that,['hypothesis']
his clearing,['up']
advertisement never,['hope']
Some scaffolding,['had']
did you,|['find', 'know', 'take', 'do', 'pick', 'see', 'beat', 'come', 'address', 'gather', 'verify', 'understand', 'learn', 'go', 'gain', 'wish', 'not', 'trace', 'deduce', 'get', 'sell', 'first', 'observe', 'hope', 'give', 'think?']|
have read,|['the', 'about']|
other means.,['was']
separate explanations,['each']
son laughed,['softly']
go down,['to']
leave him,|['Good-bye', 'alone', 'stooping']|
woven into,['the']
ten would,['be']
more miserable,['ways']
peace I,['love']
liar as,['well']
leave his,['room']
settle his,['debts']
her mother,|['Then', 'when']|
seventeen steps,['because']
touched bottom,['at']
might betray,['me']
from Dundee,|['and', 'If']|
and preserved,['her']
wild goose,['may']
blood had,['fallen']
any harm,['were']
photograph which,['he']
very friendly,['footing']
quick firm,['steps']
the young,|["lady's", 'lady', 'man', "man's", 'widow', "lady's your"]|
self-respect reasoning,['is']
events in,['question']
scar ran,['right']
Civil War,['and']
show how,['strange']
Square and,|['I', 'the', 'that']|
may stop,['his']
events it,['was']
events is,['certainly']
a rending,['tearing']
strange antics,['of']
moment that,|['my', 'I']|
apparently have,['gone']
geese for,['a']
his lips,|['to', 'and', 'compressed', 'his', 'the', 'tight', "heaven's"]|
horse's head,|['and', 'while']|
and Mrs,|['St', 'Francis', 'Rucastle']|
barque Sophy,['Anderson"']
the simple,|['fare', 'faith']|
about shooting,['them']
drove faster,['but']
got blood,['enough']
think as,['if']
been made,|['Twice', 'We', 'in', 'during']|
might see,['him']
think at,|['one', 'this']|
buy a,['goose']
your existence,['THE']
wooden thicket,['which']
cleared the,['matter']
sight which,['met']
think and,|['he', 'so']|
despair If,['his']
letter he,['spoke']
Southern states,|['and', 'after']|
eager enough,['to']
soothingly bending,['forward']
dottles left,['from']
are breaking,['the']
with silk,['black']
disappeared that,['the']
That bears,['out']
Our footfalls,['rang']
world It,['is']
were broken,['and']
bald enough,['and']
extremely difficult,['sounds']
with Miss,['Hatty']
actual ill-treatment,['from']
youth took,['to']
didn't know,|['much', 'this', 'what']|
most difficult,['to']
without the,|['knowledge', 'payment']|
heels with,['the']
letters are,|['without', 'all']|
tumultuously in,['at']
practice when,['my']
hear you,|['give', 'say']|
30 pounds,|['to', 'a']|
Reading and,['possibly']
which was,|['thrown', 'suggested', 'increased', 'the', 'not', 'piled', 'tilted', 'peculiar', 'to', 'quite', 'so', 'found', 'a', 'hanging', 'of', 'invariably', 'full', 'answered', 'weighted', 'tied', 'characteristic', 'loose', 'buttoned', 'passing', 'associated', 'ajar', 'used', 'mottled', 'composed', 'standing', 'my', 'round', 'throbbing', 'performed', 'no', 'acted', 'naturally', 'even', 'all', 'wont']|
revolver in,|['your', 'his']|
serious case,|['against', 'Nothing']|
lady might,['with']
trouble he,['might']
the girl,|['said', 'who']|
who went,['to']
year our,['good']
year out,['in']
last London,['season']
my station,|['in', 'However']|
My limbs,['were']
as brave,['as']
stepfather learned,['of']
The wind,['was']
literary shortcomings,['the']
injuries reveal,['something']
right I'm,['sure']
acknowledges me,['to']
being the,|['scene', 'nearest']|
propriety of,['my']
of circumstances,['which']
study of,|['crime', 'tattoo', 'the']|
which hangs,['over']
my cousin,['Arthur']
you best,|['And', 'by']|
business to,|['a', 'do', 'know', 'an']|
than any,|['effort', 'other']|
evidently seen,['more']
above my,['head']
badly on,['account']
cases have,['indeed']
announced his,['approaching']
emotion akin,['to']
home that,['she']
shocked at,['having']
or two,|['of', 'matters', 'questions', 'To-day', 'little', 'details', 'minor', 'points', 'twinkled', 'plain', 'things', 'very', 'places', 'above', 'do,']|
view of,|['your', 'the', 'recent']|
my reach,['With']
visitor but,['a']
in your,|['chamber', 'eyes', 'absence', 'pocket', 'position', 'example', 'bedroom', 'undertaking', 'lot', 'London', 'sleep?', 'hands', 'room', 'case', 'power', 'house', 'rooms']|
picked nervously,['at']
exclaimed is,['obvious']
I earn,['at']
shag which,['I']
at climbing,['down']
having signalled,['to']
Yard With,['him']
lady he,['cried']
customary contraction,['like']
this two,['days']
doubt which,['might']
is you,['who']
the Church,['of']
noble man,['night it']
many feet,['both']
suddenly in,['the']
since it,|['has', 'was']|
You see,|['but', 'Mr', 'it', 'all', 'how', 'Watson', 'this', 'that', 'we', 'no']|
pounds shall,['endeavour']
rooms the,['gems']
perfect happiness,['gently']
me? so.,['But']
it took,['all']
and complete,['silence']
mystery my,['dear']
she we've,['set']
